"","word","sentiment","score"
"408","бездождье","negative",-1
"409","бездоказательность","negative",-1
"410","бездоказательный","negative",-1
"411","бездомничать","negative",-1
"412","бездомничество","negative",-1
"413","бездомность","negative",-1
"414","бездомный","negative",-1
"415","бездорожье","negative",-1
"416","бездумность","negative",-1
"417","бездумный","negative",-1
"418","бездушие","negative",-1
"419","бездушность","negative",-1
"420","бездушный","negative",-1
"421","безжалостность","negative",-1
"422","безжалостный","negative",-1
"423","безжизненность","negative",-1
"424","безжизненный","negative",-1
"425","беззаботность","positive",1
"426","беззаботный","positive",1
"427","беззаконие","negative",-1
"428","беззаконность","negative",-1
"429","беззаконный","negative",-1
"430","беззастенчивость","negative",-1
"431","беззастенчивый","negative",-1
"432","беззащитность","negative",-1
"433","беззащитный","negative",-1
"434","беззлобность","positive",1
"435","беззлобный","positive",1
"436","безликая серость","negative",-1
"437","безликий","negative",-1
"438","безмозглость","negative",-1
"439","безмозглый","negative",-1
"440","безмятежность","positive",1
"441","безмятежный","positive",1
"442","безнадега","negative",-1
"443","безнадежность","negative",-1
"444","безнадежный","negative",-1
"445","безнадзорность","negative",-1
"446","безнаказанность","negative",-1
"447","безнаказанный","negative",-1
"448","безнравственность","negative",-1
"449","безнравственный","negative",-1
"450","безобидность","positive",1
"451","безобидный на первый взгляд","negative",-1
"452","безобидный","positive",1
"453","безоблачность","positive",1
"454","безоблачный","positive",1
"455","безоблачный","positive",1
"456","безобразие","negative",-1
"457","безобразить","negative",-1
"458","безобразник","negative",-1
"459","безобразница","negative",-1
"460","безобразничать","negative",-1
"461","безобразность","negative",-1
"462","безобразный","negative",-1
"463","безопасность","positive",1
"464","безопасный","positive",1
"465","безосновательность","negative",-1
"466","безосновательный","negative",-1
"467","безответственность","negative",-1
"468","безответственный","negative",-1
"469","безотказность","positive",1
"470","безотказный","positive",1
"471","безотрадность","negative",-1
"472","безотрадный","negative",-1
"473","безотцовщина","negative",-1
"474","безошибочность","positive",1
"475","безошибочный","positive",1
"476","безперебойность","positive",1
"477","безперебойный","positive",1
"478","безплатный","positive",1
"479","безработица","negative",-1
"480","безработный","negative",-1
"481","безрадостность","negative",-1
"482","безрадостный","negative",-1
"483","безраздельное господство","negative",-1
"484","безразличие","negative",-1
"485","безразличность","negative",-1
"486","безразличный","negative",-1
"487","безрезультативный","negative",-1
"488","безрезультатность","negative",-1
"489","безрезультатный","negative",-1
"490","безрукий","negative",-1
"491","безрукость","negative",-1
"492","безукоризненность","positive",1
"493","безукоризненный","positive",1
"494","безумец","negative",-1
"495","безумие","negative",-1
"496","безумность","negative",-1
"497","безумный","negative",-1
"498","безумство","negative",-1
"499","безумствовать","negative",-1
"500","безумье","negative",-1
"501","безупречность","positive",1
"502","безупречный","positive",1
"503","безуспешность","negative",-1
"504","безуспешный","negative",-1
"505","безустанность","positive",1
"506","безустанный","positive",1
"507","безутешность","negative",-1
"508","безутешный","negative",-1
"509","безучастие","negative",-1
"510","безучастность","negative",-1
"511","безучастный","negative",-1
"512","безыскусность","positive",1
"513","безыскусный","positive",1
"514","безыскусственность","positive",1
"515","безыскусственный","positive",1
"516","безысходность","negative",-1
"517","безысходный","negative",-1
"518","белесость","negative",-1
"519","белесый","negative",-1
"520","белиберда","negative",-1
"521","белокровие","negative",-1
"522","белокровный","negative",-1
"523","белоручка","negative",-1
"524","белоснежность","positive",1
"525","белоснежный","positive",1
"526","бережливость","positive",1
"527","бережливый","positive",1
"528","бережность","positive",1
"529","бережный","positive",1
"530","бесенок","positive",1
"531","беситься","negative",-1
"532","бескомпромиссность","positive",1
"533","бескомпромиссный","positive",1
"534","бесконечный повтор","negative",-1
"535","бесконтрольность","negative",-1
"536","бесконтрольный","negative",-1
"537","бесконфликтность","positive",1
"538","бесконфликтность","positive",1
"539","бескорыстие","positive",1
"540","бескорыстность","positive",1
"541","бескорыстный","positive",1
"542","бескультурие","negative",-1
"543","бескультурный","negative",-1
"544","бескультурье","negative",-1
"545","бесноваться","negative",-1
"546","беспалевно","positive",1
"547","беспалевный","positive",1
"548","беспамятность","negative",-1
"549","беспамятный","negative",-1
"550","беспамятный","negative",-1
"551","беспамятство","negative",-1
"552","беспардонность","negative",-1
"553","беспардонный","negative",-1
"554","бесперспективность","negative",-1
"555","бесперспективный","negative",-1
"556","беспечность","negative",-1
"557","беспечный","negative",-1
"558","бесплатный","positive",1
"559","бесплодие","negative",-1
"560","бесплодность","negative",-1
"561","бесплодный","negative",-1
"562","бесподобность","positive",1
"563","бесподобный","positive",1
"564","беспокойность","negative",-1
"565","беспокойный","negative",-1
"566","беспокойство","negative",-1
"567","беспокоить","negative",-1
"568","беспокоиться","negative",-1
"569","бесполезность","negative",-1
"570","бесполезный","negative",-1
"571","беспомощность","negative",-1
"572","беспомощный","negative",-1
"573","беспорочность","positive",1
"574","беспорочный","positive",1
"575","беспорядок","negative",-1
"576","беспорядочность","negative",-1
"577","беспорядочный","negative",-1
"578","беспочвенность","negative",-1
"579","беспочвенный","negative",-1
"580","беспощадность","negative",-1
"581","беспощадный","negative",-1
"582","беспредел","negative",-1
"583","беспрепятственность","positive",1
"584","беспрепятственный","positive",1
"585","беспризорник","negative",-1
"586","беспризорница","negative",-1
"587","беспризорнический","negative",-1
"588","беспризорность","negative",-1
"589","беспризорный","negative",-1
"590","беспризорщина","negative",-1
"591","беспринципность","negative",-1
"592","беспринципный","negative",-1
"593","беспристрастие","positive",1
"594","беспристрастность","positive",1
"595","беспристрастный","positive",1
"596","беспроигрышность","positive",1
"597","беспроигрышный","positive",1
"598","беспросветность","negative",-1
"599","беспросветный","negative",-1
"600","беспутник","negative",-1
"601","беспутница","negative",-1
"602","беспутничать","negative",-1
"603","беспутнический","negative",-1
"604","беспутность","negative",-1
"605","беспутный","negative",-1
"606","беспутство","negative",-1
"607","бессвязность","negative",-1
"608","бессвязный","negative",-1
"609","бессердечие","negative",-1
"610","бессердечность","negative",-1
"611","бессердечный","negative",-1
"612","бессилие","negative",-1
"613","бессилие","negative",-1
"614","бессильный","negative",-1
"615","бессильный","negative",-1
"616","бесславие","negative",-1
"617","бесславность","negative",-1
"618","бесславный","negative",-1
"619","бессмертность","positive",1
"620","бессмертность","positive",1
"621","бессмертный","positive",1
"622","бессмертный","positive",1
"623","бессмысленность","negative",-1
"624","бессмысленный","negative",-1
"625","бессмыслица","negative",-1
"626","бессовестность","negative",-1
"627","бессовестный","negative",-1
"628","бессодержательность","negative",-1
"629","бессодержательный","negative",-1
"630","бессонница","negative",-1
"631","бессонный","negative",-1
"632","бессребничество","positive",1
"633","бесстрашие","positive",1
"634","бесстрашный","positive",1
"635","бесстыдник","negative",-1
"636","бесстыдница","negative",-1
"637","бесстыдность","negative",-1
"638","бесстыдный","negative",-1
"639","бесстыдство","negative",-1
"641","бестактность","negative",-1
"642","бестактный","negative",-1
"643","бесталанность","negative",-1
"644","бесталанный","negative",-1
"645","бестия","negative",-1
"646","бестолковость","negative",-1
"647","бестолковщина","negative",-1
"648","бестолковый","negative",-1
"649","бестолочь","negative",-1
"650","бесхитростность","positive",1
"651","бесхитростный","positive",1
"652","бесхребетность","negative",-1
"653","бесхребетный","negative",-1
"654","бесцветность","negative",-1
"656","бесцветный","negative",-1
"658","бесценность","positive",1
"659","бесценный","positive",1
"660","бесцеремонность","negative",-1
"661","бесцеремонный","negative",-1
"662","бесчеловечность","negative",-1
"663","бесчеловечный","negative",-1
"664","бесчестить","negative",-1
"665","бесчестить","negative",-1
"666","бесчестность","negative",-1
"667","бесчестный","negative",-1
"668","бесчестье","negative",-1
"671","бесчувственность","negative",-1
"672","бесчувственный","negative",-1
"673","бешенство","negative",-1
"674","бешеный","negative",-1
"675","бзик","negative",-1
"676","биотоксин","negative",-1
"677","бирюк","negative",-1
"679","бирючий","negative",-1
"680","битком","negative",-1
"681","битый","negative",-1
"682","бить баклуши","negative",-1
"683","бить по нервам","negative",-1
"684","бить по основам","negative",-1
"685","бич общества","negative",-1
"686","бич","negative",-1
"687","бич","negative",-1
"689","бичиха","negative",-1
"690","блабла","negative",-1
"691","бла-бла-бла","negative",-1
"692","блаблабла","negative",-1
"693","благим матом","negative",-1
"694","благоверный","positive",1
"696","благоволение","positive",1
"697","благоволить","positive",1
"698","благовоспитанность","positive",1
"699","благовоспитанный","positive",1
"700","благоговейность","positive",1
"701","благоговейный","positive",1
"702","благоговение","positive",1
"703","благоговеть","positive",1
"704","благодарность","positive",1
"705","благодарный","positive",1
"706","благодарственный","positive",1
"707","благодатность","positive",1
"708","благодатный","positive",1
"709","благоденствие","positive",1
"710","благоденствовать","positive",1
"711","благодетельный","positive",1
"712","благожелательность","positive",1
"713","благожелательный","positive",1
"714","благозвучие","positive",1
"715","благозвучность","positive",1
"716","благозвучный","positive",1
"717","благой","positive",1
"718","благополучие","positive",1
"719","благополучность","positive",1
"720","благополучный","positive",1
"721","благопристойность","positive",1
"722","благопристойный","positive",1
"723","благоприятность","positive",1
"724","благоприятный","positive",1
"725","благоприятствование","positive",1
"726","благоприятствовать","positive",1
"727","благоразумие","positive",1
"728","благоразумность","positive",1
"729","благоразумный","positive",1
"730","благорасположение","positive",1
"731","благородность","positive",1
"732","благородный","positive",1
"733","благородство","positive",1
"734","благосклонность","positive",1
"735","благосклонный","positive",1
"736","благословенный","positive",1
"737","благосостояние","positive",1
"738","благотворитель","positive",1
"739","благотворительница","positive",1
"740","благотворительность","positive",1
"741","благотворительный","positive",1
"742","благотворительский","positive",1
"743","благотворность","positive",1
"744","благотворный","positive",1
"745","благоустроенность","positive",1
"746","благоустроенный","positive",1
"747","благоустройство","positive",1
"748","благоустройство","positive",1
"749","благоухание","positive",1
"750","благочестивость","positive",1
"751","благочестивый","positive",1
"752","благочестие","positive",1
"753","блаженство","positive",1
"754","блаженствовать","positive",1
"755","блажь","negative",-1
"756","блатарка","negative",-1
"757","блатарь","negative",-1
"758","блатной","negative",-1
"759","блевание","negative",-1
"760","блевануть","negative",-1
"761","блевать","negative",-1
"762","блевота","negative",-1
"763","блевотина","negative",-1
"764","бледноватый","negative",-1
"765","бледность","negative",-1
"766","бледность","negative",-1
"768","бледный","negative",-1
"769","бледный","negative",-1
"771","блеклость","negative",-1
"772","блеклый","negative",-1
"773","блекнуть","negative",-1
"774","блеск","positive",1
"775","блестящий","positive",1
"776","блеф","negative",-1
"777","блефовать","negative",-1
"778","блефовый","negative",-1
"779","близорукий","negative",-1
"780","близорукий","negative",-1
"781","близорукость","negative",-1
"782","близорукость","negative",-1
"783","блистательность","positive",1
"784","блистательный","positive",1
"785","блокада","negative",-1
"786","блокадный","negative",-1
"787","блоха","negative",-1
"788","блуд","negative",-1
"789","блудить","negative",-1
"790","блудить","negative",-1
"791","блудник","negative",-1
"792","блудница","negative",-1
"793","блэкаут","negative",-1
"794","блюдолиз","negative",-1
"795","богатей","negative",-1
"796","богатенький","negative",-1
"797","богатеть","positive",1
"798","богатство","positive",1
"799","богатый","positive",1
"800","богач","negative",-1
"801","богачка","negative",-1
"802","богобоязненность","positive",1
"803","богобоязненный","positive",1
"804","богомольный","positive",1
"805","боготворение","positive",1
"806","боготворить","positive",1
"807","богохульничанье","negative",-1
"808","богохульничать","negative",-1
"809","богохульный","negative",-1
"810","богохульственный","negative",-1
"811","богохульство","negative",-1
"812","богохульствовать","negative",-1
"813","бодрить","positive",1
"814","бодрость","positive",1
"815","бодрый","positive",1
"816","бодряцкий","negative",-1
"817","бодряческий","negative",-1
"818","бодяга","negative",-1
"820","боевик","negative",-1
"821","боевик","positive",1
"823","божеее","negative",-1
"824","божеский","positive",1
"825","божественность","positive",1
"826","божественность","positive",1
"827","божественный","positive",1
"828","божественный","positive",1
"829","божество","positive",1
"830","божество","positive",1
"831","божечка","negative",-1
"832","бой","negative",-1
"833","бой","negative",-1
"834","бой","negative",-1
"835","бой","negative",-1
"838","бойкий","positive",1
"839","бойкий","positive",1
"841","бойкость","positive",1
"842","бойкость","positive",1
"843","бойкот","negative",-1
"844","бойкотирование","negative",-1
"845","бойкотировать","negative",-1
"846","бойня","negative",-1
"848","болван","negative",-1
"849","болевой","negative",-1
"850","болезненность","negative",-1
"851","болезненность","negative",-1
"852","болезненность","negative",-1
"853","болезненный","negative",-1
"854","болезненный","negative",-1
"855","болезненный","negative",-1
"856","болезнетворный","negative",-1
"857","болезнь","negative",-1
"858","болеть","negative",-1
"859","болеть","negative",-1
"860","болеть","positive",1
"862","болото","negative",-1
"864","болтовня","negative",-1
"865","боль","negative",-1
"866","больная","negative",-1
"867","больной","negative",-1
"868","большая натяжка","negative",-1
"869","больше не пойду","negative",-1
"870","больше не приходить","negative",-1
"871","больше ни ногой","negative",-1
"872","большие перспективы","positive",1
"873","большое будущее","positive",1
"874","большое желание","positive",1
"875","большое но","negative",-1
"877","большой вопрос","negative",-1
"878","большой выбор","positive",1
"879","большой облом","negative",-1
"880","болячка","negative",-1
"881","бомба","negative",-1
"882","бомба","negative",-1
"883","бомба","negative",-1
"884","бомбануть","negative",-1
"885","бомбардировать","negative",-1
"886","бомбардировка","negative",-1
"887","бомбардировочный","negative",-1
"888","бомбежка","negative",-1
"889","бомбежный","negative",-1
"890","бомбить","negative",-1
"891","бомбометание","negative",-1
"892","бомж","negative",-1
"893","бомжатник","negative",-1
"894","бомжевать","negative",-1
"895","бомжеский","negative",-1
"896","бомжиха","negative",-1
"897","бомжовый","negative",-1
"898","борзеть","negative",-1
"899","бормотание","negative",-1
"900","бормотанье","negative",-1
"901","бормотать","negative",-1
"902","босяк","negative",-1
"903","босячка","negative",-1
"904","бошка","negative",-1
"905","боязливость","negative",-1
"906","боязливый","negative",-1
"907","боязнь","negative",-1
"908","бояться","negative",-1
"909","бравада","negative",-1
"910","бравировать","negative",-1
"911","бравость","positive",1
"912","бравый","positive",1
"913","браконьер","negative",-1
"914","браконьерский","negative",-1
"915","браконьерство","negative",-1
"916","браконьерствовать","negative",-1
"917","бранить","negative",-1
"918","браниться","negative",-1
"919","бранный","negative",-1
"920","брань","negative",-1
"921","братание","positive",1
"922","братоубийственный","negative",-1
"923","братоубийство","negative",-1
"924","братоубийца","negative",-1
"925","брать под стражу","negative",-1
"926","бред","negative",-1
"927","бред","negative",-1
"928","бредни","negative",-1
"929","бредовый","negative",-1
"930","бредовый","negative",-1
"931","брезгать","negative",-1
"932","брезгливость","negative",-1
"933","брезгливый","negative",-1
"934","брезговать","negative",-1
"935","бремя","negative",-1
"936","брехать","negative",-1
"938","брехло","negative",-1
"939","брехня","negative",-1
"940","брехун","negative",-1
"941","брехунья","negative",-1
"942","брешь","negative",-1
"943","бродяга","negative",-1
"944","бродяжий","negative",-1
"945","бродяжка","negative",-1
"946","бродяжничать","negative",-1
"947","бродяжнический","negative",-1
"948","бродяжничество","negative",-1
"949","бродячий собака","negative",-1
"950","брожение умов","negative",-1
"951","бронхитный","negative",-1
"952","бросаться деньгами","negative",-1
"953","бросаться под поезд","negative",-1
"954","броситься под поезд","negative",-1
"955","бросовая цена","negative",-1
"956","бросовый","negative",-1
"957","бросовый","negative",-1
"958","брутальность","positive",1
"959","брутальный","positive",1
"960","брыкаться","negative",-1
"961","брыкаться","negative",-1
"962","брюзга","negative",-1
"963","брюзгливость","negative",-1
"964","брюзгливый","negative",-1
"965","брюзжание","negative",-1
"966","брюзжать","negative",-1
"967","брякать","negative",-1
"968","брякать","negative",-1
"969","брякнуть языком","negative",-1
"970","брякнуть","negative",-1
"971","брякнуть","negative",-1
"972","будоражить","negative",-1
"973","будоражиться","negative",-1
"974","буза","negative",-1
"975","бузила","negative",-1
"976","бузить","negative",-1
"977","бузотер","negative",-1
"978","бузотерка","negative",-1
"979","бузотерский","negative",-1
"984","буйность","negative",-1
"985","буйный","negative",-1
"986","буйство","negative",-1
"987","буйствовать","negative",-1
"988","букашка","negative",-1
"989","буксовать","negative",-1
"990","буллинг","negative",-1
"991","бульварность","negative",-1
"992","бульварный","negative",-1
"994","бульварщина","negative",-1
"995","бумаготворчество","negative",-1
"996","бумажная душа","negative",-1
"997","бумажная душонка","negative",-1
"998","бумажная карусель","negative",-1
"999","бумажный червь","negative",-1
"1000","бунт","negative",-1
"1001","бунт","negative",-1
"1002","бунтарский","negative",-1
"1003","бунтарство","negative",-1
"1004","бунтарь","negative",-1
"1005","бунтовщик","negative",-1
"1006","бунтовщица","negative",-1
"1007","бунтовщический","negative",-1
"1008","буравить глазами","negative",-1
"1009","буран","negative",-1
"1010","буранный","negative",-1
"1011","бурьян","negative",-1
"1012","буря","negative",-1
"1013","буря","negative",-1
"1014","бутафория","negative",-1
"1015","бутафорский","negative",-1
"1019","буфер","positive",1
